Company,Category,Subcategory,Region,Sales_Channel,Year,Revenue_USD_Million,Market_Share_%,Growth_%,Urban_Rural
Hindustan Unilever,Personal Care,Soap,East,Offline,2025,1229.91,1.45,7.3,Urban
Britannia,Health Care,Bakery,East,Online,2025,2931.41,8.32,8.66,Urban
Britannia,Health Care,Oral Care,South,Online,2024,4059.93,2.38,14.95,Rural
Reliance Consumer,Home Care,Beverages,South,Offline,2025,2187.37,14.6,10.06,Urban
Colgate-Palmolive,Health Care,Beverages,North,Offline,2023,2068.36,6.28,14.45,Urban
Colgate-Palmolive,Food & Beverages,Biscuits,North,Offline,2024,793.8,5.59,10.89,Rural
ITC,Home Care,Bakery,East,Offline,2020,2805.33,4.84,8.22,Rural
Marico,Health Care,Oral Care,West,Online,2020,2466.65,16.97,8.98,Urban
Colgate-Palmolive,Health Care,Ayurvedic Products,West,Offline,2024,5632.15,18.7,12.36,Urban
ITC,Personal Care,Soap,South,Offline,2022,4146.64,3.87,6.63,Urban
ITC,Personal Care,Ayurvedic Products,West,Offline,2023,1627.39,4.99,10.41,Urban
Nestle India,Food & Beverages,Shampoo,South,Offline,2023,4564.29,6.95,11.45,Rural
Britannia,Personal Care,Ayurvedic Products,South,Online,2021,2290.47,17.27,14.46,Rural
Marico,Personal Care,Insecticides,South,Offline,2022,3935.91,17.34,5.36,Urban
Godrej Consumer,Food & Beverages,Soap,South,Offline,2021,3704.97,12.08,14.04,Urban
Marico,Home Care,Soap,South,Online,2021,2042.38,4.57,6.05,Urban
Britannia,Personal Care,Insecticides,North,Offline,2024,1468.76,17.06,10.43,Rural
Dabur,Food & Beverages,Shampoo,North,Online,2022,2252.39,12.11,4.96,Urban
Godrej Consumer,Home Care,Biscuits,North,Online,2021,5904.25,9.91,14.03,Rural
Godrej Consumer,Home Care,Shampoo,West,Offline,2023,3063.94,9.48,8.11,Urban
Reliance Consumer,Personal Care,Shampoo,North,Offline,2024,5740.93,10.85,6.61,Urban
ITC,Food & Beverages,Biscuits,West,Offline,2021,5250.01,11.92,9.16,Rural
Dabur,Health Care,Ayurvedic Products,South,Online,2022,4253.35,10.32,6.66,Urban
ITC,Home Care,Hair Oil,North,Offline,2020,1980.05,3.18,4.35,Urban
Reliance Consumer,Food & Beverages,Beverages,North,Online,2023,5632.65,6.17,13.17,Urban
Britannia,Home Care,Biscuits,South,Offline,2021,3207.4,2.62,10.34,Rural
Godrej Consumer,Food & Beverages,Bakery,East,Online,2021,1251.49,11.67,12.19,Urban
Reliance Consumer,Health Care,Biscuits,West,Online,2020,2438.5,5.82,8.39,Rural
Godrej Consumer,Personal Care,Bakery,South,Offline,2021,2822.22,14.52,7.7,Urban
Patanjali,Home Care,Oral Care,East,Offline,2022,2014.04,13.14,9.26,Rural
Britannia,Food & Beverages,Soap,West,Online,2020,3249.5,1.63,4.36,Urban
Reliance Consumer,Food & Beverages,Oral Care,South,Offline,2021,4064.75,3.77,13.52,Urban
Britannia,Personal Care,Ayurvedic Products,East,Online,2022,5338.79,13.65,4.64,Rural
Reliance Consumer,Health Care,Shampoo,South,Online,2025,5567.51,19.71,6.31,Urban
Marico,Health Care,Ayurvedic Products,West,Online,2023,5595.9,7.2,11.64,Rural
Dabur,Personal Care,Hair Oil,West,Online,2022,1395.78,7.73,10.62,Rural
Colgate-Palmolive,Health Care,Biscuits,South,Offline,2021,2471.11,2.71,9.59,Rural
Dabur,Health Care,Insecticides,South,Offline,2024,830.63,15.94,4.86,Urban
Britannia,Health Care,Oral Care,East,Offline,2024,5838.79,13.33,9.96,Rural
Colgate-Palmolive,Personal Care,Insecticides,North,Offline,2022,1670.25,19.73,14.21,Urban
Patanjali,Personal Care,Biscuits,North,Online,2024,4483.88,10.38,8.3,Urban
Patanjali,Personal Care,Biscuits,West,Offline,2021,541.56,14.15,8.93,Rural
Reliance Consumer,Home Care,Insecticides,North,Online,2025,1814.74,17.31,13.66,Rural
Dabur,Home Care,Noodles,East,Online,2024,523.52,1.72,12.71,Urban
ITC,Home Care,Oral Care,North,Offline,2025,3553.48,17.9,5.62,Urban
Britannia,Food & Beverages,Biscuits,South,Online,2024,2795.82,16.67,3.1,Rural
Godrej Consumer,Home Care,Oral Care,West,Online,2020,1404.1,19.88,10.14,Urban
Patanjali,Food & Beverages,Beverages,West,Online,2021,5417.79,14.25,8.23,Rural
Colgate-Palmolive,Food & Beverages,Soap,South,Online,2024,1595.65,2.45,14.85,Urban
Marico,Food & Beverages,Insecticides,East,Online,2021,3299.6,13.69,5.85,Urban
ITC,Food & Beverages,Noodles,West,Online,2023,3880.49,7.95,3.35,Urban
Marico,Personal Care,Soap,South,Offline,2020,1911.08,6.32,6.93,Urban
Dabur,Food & Beverages,Oral Care,South,Offline,2020,1658.76,13.48,7.46,Rural
Patanjali,Food & Beverages,Oral Care,South,Online,2023,2561.91,7.2,4.26,Urban
Marico,Personal Care,Bakery,West,Online,2023,2777.55,2.74,14.95,Urban
Godrej Consumer,Food & Beverages,Bakery,North,Offline,2020,5348.41,4.12,6.06,Urban
Dabur,Personal Care,Bakery,North,Online,2020,4996.63,3.62,3.59,Rural
Britannia,Health Care,Soap,East,Online,2024,5322.91,3.93,9.7,Urban
Godrej Consumer,Health Care,Beverages,North,Offline,2023,2170.33,10.57,13.79,Rural
Colgate-Palmolive,Personal Care,Hair Oil,North,Online,2024,5466.32,8.37,11.56,Urban
Patanjali,Personal Care,Insecticides,South,Online,2025,3750.65,5.76,13.54,Rural
Marico,Food & Beverages,Bakery,North,Offline,2024,5955.41,13.58,9.78,Urban
Britannia,Food & Beverages,Soap,West,Online,2020,2388.99,2.56,12.14,Urban
Hindustan Unilever,Food & Beverages,Bakery,North,Offline,2025,1812.56,13.96,5.45,Urban
ITC,Food & Beverages,Beverages,West,Online,2025,3250.34,8.08,9.68,Urban
Reliance Consumer,Home Care,Soap,North,Offline,2022,3610.79,5.95,9.26,Urban
Dabur,Food & Beverages,Insecticides,North,Offline,2023,566.28,19.44,3.21,Rural
Britannia,Health Care,Bakery,East,Offline,2022,3679.66,11.54,7.96,Urban
Marico,Personal Care,Biscuits,West,Online,2020,2972.76,1.31,7.78,Urban
Colgate-Palmolive,Personal Care,Oral Care,West,Offline,2020,1162.35,15.94,7.01,Urban
Hindustan Unilever,Home Care,Bakery,North,Online,2023,3172.2,17.08,9.73,Urban
Hindustan Unilever,Health Care,Bakery,South,Offline,2021,926.61,6.51,14.39,Rural
Nestle India,Home Care,Shampoo,West,Offline,2021,5812.14,2.11,12.76,Urban
Hindustan Unilever,Food & Beverages,Ayurvedic Products,South,Offline,2025,2879.58,8.17,14.46,Urban
Reliance Consumer,Home Care,Oral Care,East,Online,2020,4589.46,10.48,8.73,Rural
Godrej Consumer,Food & Beverages,Ayurvedic Products,South,Online,2022,4206.82,4.3,4.53,Urban
Colgate-Palmolive,Food & Beverages,Bakery,West,Online,2020,3190.33,5.59,10.23,Urban
Godrej Consumer,Home Care,Beverages,West,Offline,2022,4083.93,16.03,13.42,Urban
Reliance Consumer,Health Care,Oral Care,South,Offline,2022,3584.1,9.69,3.67,Rural
Godrej Consumer,Personal Care,Oral Care,South,Online,2020,2460.0,5.24,9.12,Rural
Colgate-Palmolive,Food & Beverages,Bakery,South,Online,2024,2032.72,13.35,9.47,Rural
Reliance Consumer,Food & Beverages,Ayurvedic Products,East,Offline,2023,1779.33,12.84,9.25,Rural
Nestle India,Personal Care,Noodles,East,Offline,2021,4295.74,12.49,5.76,Urban
Colgate-Palmolive,Home Care,Bakery,North,Offline,2023,5131.12,1.73,5.08,Urban
Dabur,Food & Beverages,Shampoo,West,Online,2023,1935.48,1.52,8.5,Rural
Reliance Consumer,Home Care,Bakery,West,Offline,2020,3870.63,7.23,3.5,Urban
Reliance Consumer,Home Care,Bakery,North,Online,2021,1385.48,3.11,9.21,Rural
Marico,Home Care,Biscuits,South,Online,2024,938.28,2.78,11.09,Rural
ITC,Health Care,Shampoo,North,Offline,2021,2039.23,10.12,11.17,Urban
Godrej Consumer,Home Care,Beverages,North,Offline,2024,4499.22,14.36,3.79,Urban
Hindustan Unilever,Home Care,Oral Care,East,Offline,2024,841.63,14.38,13.49,Urban
ITC,Personal Care,Insecticides,East,Online,2022,4972.56,18.35,13.04,Rural
Patanjali,Home Care,Shampoo,South,Online,2025,1978.56,13.88,9.46,Urban
Godrej Consumer,Health Care,Noodles,West,Online,2025,637.36,3.65,13.18,Rural
ITC,Home Care,Shampoo,South,Online,2022,5165.46,19.54,10.41,Rural
Hindustan Unilever,Food & Beverages,Soap,West,Online,2023,3495.71,17.88,11.52,Urban
Britannia,Home Care,Oral Care,West,Online,2024,2950.51,18.59,11.23,Rural
Colgate-Palmolive,Health Care,Oral Care,South,Offline,2025,5212.03,9.4,11.52,Urban
Nestle India,Personal Care,Hair Oil,West,Offline,2020,4254.58,17.59,7.08,Rural
Patanjali,Health Care,Oral Care,West,Offline,2022,2277.73,7.91,6.5,Urban
Hindustan Unilever,Home Care,Bakery,North,Offline,2024,1539.32,15.63,4.58,Rural
Nestle India,Personal Care,Bakery,North,Offline,2022,2086.47,10.31,10.75,Rural
Nestle India,Home Care,Noodles,East,Online,2020,2558.98,14.82,12.18,Urban
Britannia,Home Care,Soap,North,Offline,2023,5365.72,1.58,7.85,Rural
Britannia,Food & Beverages,Hair Oil,North,Online,2021,2679.77,13.41,7.95,Urban
Dabur,Personal Care,Shampoo,South,Offline,2021,5285.77,3.69,3.83,Urban
Reliance Consumer,Personal Care,Ayurvedic Products,South,Online,2021,5120.24,2.57,4.12,Urban
Colgate-Palmolive,Food & Beverages,Bakery,West,Online,2024,2276.66,2.33,9.81,Rural
Britannia,Health Care,Noodles,North,Online,2020,5696.64,19.52,5.55,Rural
Patanjali,Personal Care,Soap,East,Offline,2020,5113.96,9.22,8.6,Rural
Marico,Home Care,Biscuits,North,Offline,2021,619.16,18.14,3.25,Rural
Patanjali,Personal Care,Bakery,West,Offline,2023,3596.98,17.26,13.03,Urban
Godrej Consumer,Home Care,Noodles,South,Offline,2020,2677.96,2.3,3.01,Rural
Reliance Consumer,Personal Care,Beverages,North,Online,2022,3828.51,13.04,9.07,Urban
ITC,Personal Care,Insecticides,South,Online,2022,732.85,17.12,12.37,Urban
Patanjali,Health Care,Hair Oil,East,Online,2021,5102.51,2.44,8.17,Rural
Marico,Health Care,Ayurvedic Products,South,Online,2023,734.77,3.37,14.66,Rural
Marico,Food & Beverages,Ayurvedic Products,South,Offline,2024,1601.8,19.02,8.52,Urban
Britannia,Food & Beverages,Hair Oil,West,Online,2025,699.97,14.94,14.92,Rural
Nestle India,Personal Care,Noodles,North,Online,2025,3003.26,3.0,7.99,Rural
Nestle India,Home Care,Hair Oil,West,Online,2024,4094.9,19.19,3.66,Rural
Patanjali,Personal Care,Hair Oil,West,Online,2021,5121.44,9.54,10.92,Rural
Godrej Consumer,Health Care,Shampoo,West,Online,2025,5546.27,2.61,6.4,Urban
Nestle India,Home Care,Shampoo,North,Online,2025,4918.73,3.4,13.76,Rural
Dabur,Personal Care,Noodles,East,Offline,2020,1427.82,8.86,9.76,Rural
Hindustan Unilever,Health Care,Noodles,South,Offline,2021,4987.49,19.65,3.3,Rural
Dabur,Home Care,Hair Oil,East,Offline,2023,624.76,3.64,14.12,Rural
Dabur,Personal Care,Soap,North,Online,2023,3297.36,11.88,10.4,Rural
Hindustan Unilever,Health Care,Bakery,East,Offline,2020,1589.94,10.61,13.07,Rural
Dabur,Personal Care,Shampoo,West,Online,2021,1242.48,1.47,13.08,Rural
ITC,Home Care,Hair Oil,South,Online,2025,3846.78,9.2,12.41,Rural
Britannia,Food & Beverages,Soap,East,Offline,2020,3201.66,4.99,12.36,Rural
ITC,Health Care,Shampoo,South,Online,2024,3526.64,5.58,4.65,Rural
Marico,Food & Beverages,Noodles,South,Offline,2020,4504.75,14.82,4.36,Urban
ITC,Food & Beverages,Noodles,East,Online,2022,2724.9,2.82,13.89,Urban
Britannia,Home Care,Beverages,North,Offline,2022,2729.92,5.35,12.58,Rural
Reliance Consumer,Personal Care,Bakery,East,Offline,2024,3882.24,5.81,7.05,Urban
Nestle India,Home Care,Bakery,East,Offline,2021,2248.15,5.48,12.61,Urban
Colgate-Palmolive,Personal Care,Insecticides,North,Offline,2021,1229.57,1.79,14.82,Urban
Patanjali,Personal Care,Noodles,North,Offline,2024,1141.06,4.81,7.96,Urban
Godrej Consumer,Food & Beverages,Soap,East,Offline,2022,3957.58,13.3,5.77,Rural
Hindustan Unilever,Health Care,Noodles,West,Online,2021,5125.02,7.18,13.5,Rural
Reliance Consumer,Home Care,Beverages,West,Offline,2023,4978.46,2.56,13.68,Rural
Patanjali,Home Care,Shampoo,South,Offline,2021,4883.32,13.88,11.49,Rural
Nestle India,Home Care,Noodles,North,Online,2024,1970.25,13.7,14.91,Urban
Godrej Consumer,Home Care,Bakery,North,Offline,2024,4071.35,8.19,3.24,Rural
Dabur,Food & Beverages,Oral Care,East,Offline,2025,3954.4,13.98,5.03,Urban
Colgate-Palmolive,Home Care,Oral Care,North,Online,2021,5781.63,18.1,12.04,Urban
Colgate-Palmolive,Food & Beverages,Beverages,North,Online,2025,757.67,10.06,14.97,Urban
ITC,Home Care,Hair Oil,South,Offline,2024,5051.49,2.1,10.91,Rural
ITC,Food & Beverages,Ayurvedic Products,South,Online,2020,1053.92,8.58,10.62,Rural
Britannia,Health Care,Soap,North,Online,2025,2761.48,7.75,10.23,Rural
Dabur,Health Care,Ayurvedic Products,West,Offline,2021,3397.58,15.66,11.14,Urban
ITC,Home Care,Hair Oil,West,Offline,2022,1879.97,1.52,9.8,Rural
Reliance Consumer,Home Care,Beverages,East,Offline,2025,5603.06,16.34,14.48,Rural
Reliance Consumer,Food & Beverages,Oral Care,East,Online,2024,1880.31,5.63,12.2,Urban
ITC,Health Care,Ayurvedic Products,West,Offline,2024,1741.42,8.95,4.3,Rural
Colgate-Palmolive,Personal Care,Beverages,East,Offline,2022,2463.91,8.39,14.28,Urban
Patanjali,Health Care,Ayurvedic Products,East,Offline,2023,5077.22,13.08,3.96,Rural
Godrej Consumer,Food & Beverages,Hair Oil,West,Online,2020,5297.17,13.42,13.99,Urban
Patanjali,Home Care,Ayurvedic Products,South,Online,2020,1799.08,19.24,3.34,Urban
Hindustan Unilever,Home Care,Noodles,West,Online,2025,4439.94,12.7,9.24,Urban
Nestle India,Home Care,Bakery,West,Offline,2021,5374.26,6.46,12.19,Rural
Colgate-Palmolive,Health Care,Noodles,South,Online,2020,3875.28,6.67,7.49,Urban
Reliance Consumer,Food & Beverages,Insecticides,West,Online,2025,3626.27,14.09,3.02,Rural
Godrej Consumer,Health Care,Beverages,North,Offline,2022,5394.06,9.08,14.29,Urban
ITC,Food & Beverages,Hair Oil,West,Offline,2024,5609.68,7.19,11.23,Rural
Marico,Health Care,Ayurvedic Products,East,Offline,2020,4765.94,16.56,6.61,Urban
Reliance Consumer,Home Care,Shampoo,North,Offline,2025,996.82,4.97,8.99,Urban
Godrej Consumer,Home Care,Oral Care,East,Offline,2025,5824.5,10.25,12.62,Urban
Hindustan Unilever,Health Care,Shampoo,North,Online,2023,3028.87,16.81,14.73,Urban
Godrej Consumer,Personal Care,Insecticides,West,Online,2023,675.46,15.6,12.51,Urban
ITC,Home Care,Insecticides,West,Offline,2020,5358.19,16.43,10.09,Urban
Colgate-Palmolive,Food & Beverages,Soap,North,Online,2020,4631.55,11.78,4.0,Urban
Dabur,Home Care,Noodles,South,Online,2024,3894.37,2.82,8.36,Rural
Dabur,Food & Beverages,Noodles,South,Offline,2023,1809.48,6.16,6.56,Urban
Hindustan Unilever,Health Care,Bakery,North,Offline,2023,4085.98,16.9,4.88,Urban
Hindustan Unilever,Food & Beverages,Biscuits,West,Online,2020,5464.79,13.07,4.0,Rural
ITC,Home Care,Biscuits,East,Offline,2020,5274.09,8.5,13.47,Urban
Marico,Food & Beverages,Shampoo,South,Online,2020,1526.15,12.67,13.65,Rural
Patanjali,Home Care,Noodles,South,Offline,2025,2905.21,7.33,4.76,Rural
Dabur,Food & Beverages,Soap,East,Online,2020,5399.42,1.57,10.85,Rural
Hindustan Unilever,Personal Care,Ayurvedic Products,North,Online,2020,1739.46,2.89,7.58,Urban
Britannia,Personal Care,Ayurvedic Products,West,Offline,2023,2533.17,3.2,5.05,Urban
ITC,Health Care,Ayurvedic Products,North,Online,2020,4130.81,3.17,7.5,Urban
Britannia,Food & Beverages,Beverages,North,Online,2021,3554.35,11.19,14.47,Rural
Colgate-Palmolive,Home Care,Noodles,South,Offline,2025,1033.1,1.73,3.73,Urban
Reliance Consumer,Home Care,Shampoo,East,Online,2022,5196.06,13.9,9.14,Urban
Nestle India,Health Care,Oral Care,West,Online,2022,4896.63,10.43,14.79,Rural
Patanjali,Personal Care,Oral Care,South,Online,2022,545.52,6.66,10.45,Urban
Nestle India,Personal Care,Beverages,East,Online,2022,1221.25,12.17,6.98,Urban
Colgate-Palmolive,Health Care,Ayurvedic Products,North,Offline,2020,5476.7,19.42,5.87,Urban
Dabur,Health Care,Shampoo,South,Offline,2024,3517.12,6.18,4.69,Rural
Britannia,Food & Beverages,Insecticides,West,Online,2023,3198.92,12.21,13.05,Urban
Reliance Consumer,Food & Beverages,Soap,West,Offline,2021,4030.27,11.69,10.77,Rural
Patanjali,Health Care,Noodles,West,Online,2025,3131.99,17.58,13.71,Rural
Godrej Consumer,Health Care,Hair Oil,East,Online,2021,3972.57,1.7,11.31,Rural
ITC,Home Care,Shampoo,East,Online,2023,4936.93,6.61,10.16,Urban
Reliance Consumer,Food & Beverages,Soap,North,Online,2021,1978.92,14.74,11.57,Urban
Britannia,Personal Care,Biscuits,South,Offline,2023,4662.89,12.61,14.92,Urban
Britannia,Health Care,Insecticides,North,Online,2024,1966.06,7.53,9.67,Rural
Nestle India,Home Care,Insecticides,North,Online,2025,4377.96,11.8,10.59,Urban
Dabur,Personal Care,Soap,East,Offline,2023,5756.7,8.41,5.09,Urban
Patanjali,Food & Beverages,Bakery,North,Offline,2021,5716.34,4.02,6.53,Urban
Marico,Personal Care,Biscuits,North,Offline,2023,892.35,14.02,14.69,Rural
Dabur,Home Care,Noodles,East,Offline,2025,646.19,2.01,5.93,Urban
Godrej Consumer,Personal Care,Hair Oil,East,Offline,2024,3467.52,4.51,14.3,Urban
Hindustan Unilever,Home Care,Noodles,South,Offline,2025,5112.06,14.72,9.86,Urban
Colgate-Palmolive,Health Care,Insecticides,North,Offline,2025,4362.26,1.09,9.32,Rural
Marico,Personal Care,Hair Oil,South,Online,2022,4565.17,14.98,7.63,Urban
Nestle India,Food & Beverages,Beverages,North,Offline,2025,4927.69,1.17,13.42,Urban
Marico,Health Care,Ayurvedic Products,North,Online,2024,3219.38,3.08,12.31,Rural
ITC,Personal Care,Insecticides,East,Offline,2022,5765.52,3.67,9.13,Urban
Marico,Personal Care,Ayurvedic Products,South,Offline,2021,3543.63,2.54,6.97,Urban
Godrej Consumer,Home Care,Noodles,West,Online,2022,557.44,6.83,11.71,Rural
Godrej Consumer,Food & Beverages,Bakery,North,Offline,2023,5366.54,4.47,6.38,Urban
Marico,Personal Care,Biscuits,South,Offline,2023,4786.9,6.66,13.48,Urban
Patanjali,Health Care,Bakery,West,Online,2023,2063.68,6.43,9.97,Urban
Nestle India,Food & Beverages,Shampoo,East,Online,2021,1193.98,12.55,3.21,Urban
Nestle India,Health Care,Biscuits,South,Offline,2024,771.65,4.51,6.1,Urban
Godrej Consumer,Health Care,Oral Care,North,Online,2020,1285.47,17.94,9.72,Urban
Britannia,Health Care,Oral Care,West,Offline,2020,854.06,8.4,7.75,Urban
Marico,Health Care,Shampoo,North,Offline,2023,1822.59,1.91,11.99,Rural
Colgate-Palmolive,Home Care,Biscuits,East,Offline,2020,1829.11,10.91,10.23,Urban
Godrej Consumer,Food & Beverages,Bakery,East,Offline,2025,3401.47,4.46,13.85,Urban
Hindustan Unilever,Health Care,Biscuits,North,Offline,2024,1007.86,19.15,8.28,Urban
Reliance Consumer,Health Care,Noodles,North,Online,2025,2399.23,15.14,6.37,Urban
ITC,Health Care,Noodles,North,Offline,2023,3946.96,16.7,7.85,Rural
Nestle India,Home Care,Noodles,East,Online,2022,1332.38,15.06,6.53,Urban
Godrej Consumer,Food & Beverages,Hair Oil,South,Online,2025,3342.29,1.62,13.35,Rural
Dabur,Food & Beverages,Noodles,West,Online,2022,2909.95,11.68,9.54,Rural
ITC,Personal Care,Shampoo,East,Offline,2024,3089.45,1.02,5.5,Urban
Dabur,Health Care,Oral Care,South,Online,2022,2243.24,1.16,3.16,Urban
Hindustan Unilever,Personal Care,Oral Care,East,Online,2023,1271.92,15.84,12.03,Urban
Patanjali,Home Care,Ayurvedic Products,South,Online,2023,800.15,9.91,10.38,Rural
Godrej Consumer,Personal Care,Bakery,East,Offline,2022,3477.69,4.52,3.42,Rural
Reliance Consumer,Food & Beverages,Hair Oil,North,Online,2025,5127.92,7.88,11.26,Rural
Patanjali,Health Care,Beverages,South,Offline,2023,2804.94,9.99,13.46,Rural
Patanjali,Health Care,Noodles,West,Online,2023,4196.08,11.25,8.78,Urban
Hindustan Unilever,Health Care,Oral Care,East,Offline,2023,3042.63,15.08,9.83,Urban
Patanjali,Health Care,Hair Oil,East,Offline,2021,2684.69,5.22,7.19,Rural
Dabur,Home Care,Ayurvedic Products,South,Offline,2024,3325.24,9.96,6.46,Urban
ITC,Personal Care,Insecticides,North,Offline,2021,1150.18,5.5,14.48,Urban
Godrej Consumer,Health Care,Soap,West,Offline,2025,5159.65,15.36,13.87,Urban
Dabur,Food & Beverages,Shampoo,East,Online,2023,5387.55,7.2,5.8,Urban
ITC,Personal Care,Biscuits,North,Offline,2021,4426.78,17.29,9.43,Rural
Colgate-Palmolive,Home Care,Noodles,North,Online,2021,1774.4,3.66,14.51,Urban
Godrej Consumer,Health Care,Shampoo,North,Online,2024,4689.58,10.74,11.58,Urban
Hindustan Unilever,Food & Beverages,Shampoo,West,Online,2022,969.66,4.95,9.72,Rural
Godrej Consumer,Home Care,Shampoo,East,Online,2023,1715.06,1.99,4.15,Rural
Marico,Home Care,Hair Oil,West,Offline,2022,4669.75,15.51,8.0,Urban
Nestle India,Home Care,Biscuits,West,Online,2024,4202.44,14.3,7.05,Urban
Marico,Health Care,Ayurvedic Products,West,Offline,2022,4467.41,17.4,7.34,Urban
Patanjali,Personal Care,Shampoo,East,Online,2022,2457.45,13.76,13.27,Rural
Nestle India,Personal Care,Bakery,South,Online,2024,4400.69,3.02,14.57,Rural
Godrej Consumer,Health Care,Beverages,West,Offline,2021,4693.06,10.97,7.84,Urban
Marico,Food & Beverages,Shampoo,South,Offline,2021,1457.87,5.2,13.56,Urban
Colgate-Palmolive,Food & Beverages,Insecticides,East,Online,2023,1310.63,11.79,11.98,Urban
Marico,Food & Beverages,Ayurvedic Products,North,Online,2024,2727.91,1.86,13.59,Urban
Nestle India,Personal Care,Insecticides,East,Offline,2023,1421.28,18.17,9.31,Rural
Hindustan Unilever,Food & Beverages,Insecticides,West,Offline,2023,4556.92,18.04,14.01,Urban
Marico,Health Care,Beverages,West,Online,2021,1693.26,5.02,6.3,Rural
ITC,Food & Beverages,Biscuits,West,Online,2022,2449.39,9.52,13.42,Urban
Britannia,Home Care,Beverages,North,Offline,2023,1138.0,4.76,13.88,Rural
Patanjali,Personal Care,Biscuits,West,Online,2020,633.79,6.5,3.92,Urban
Dabur,Personal Care,Hair Oil,West,Offline,2024,638.46,12.35,11.16,Rural
Godrej Consumer,Food & Beverages,Hair Oil,North,Offline,2021,992.5,13.65,3.62,Urban
Nestle India,Food & Beverages,Shampoo,West,Offline,2021,4906.42,1.38,7.17,Rural
Dabur,Personal Care,Oral Care,South,Offline,2024,4877.29,13.06,3.06,Urban
Britannia,Home Care,Ayurvedic Products,West,Offline,2025,1817.28,17.85,14.52,Rural
Marico,Personal Care,Bakery,West,Online,2023,4023.07,5.74,14.59,Rural
Patanjali,Personal Care,Noodles,North,Online,2025,1232.72,15.15,6.93,Rural
Hindustan Unilever,Health Care,Shampoo,West,Offline,2025,680.7,3.12,6.6,Urban
Colgate-Palmolive,Health Care,Soap,North,Online,2024,844.07,12.4,13.68,Rural
Colgate-Palmolive,Personal Care,Soap,North,Offline,2023,4446.02,7.3,4.68,Rural
Marico,Health Care,Biscuits,West,Online,2021,2974.68,15.33,5.33,Rural
Reliance Consumer,Food & Beverages,Bakery,South,Online,2023,3389.64,15.7,6.39,Urban
Godrej Consumer,Health Care,Soap,East,Online,2022,2706.69,15.99,13.62,Urban
Nestle India,Health Care,Soap,West,Offline,2025,678.92,13.98,7.61,Rural
Nestle India,Home Care,Noodles,East,Offline,2023,1168.78,11.55,5.91,Rural
Britannia,Personal Care,Biscuits,South,Offline,2023,5212.8,13.52,7.52,Rural
Patanjali,Home Care,Shampoo,West,Offline,2025,4563.99,13.14,5.65,Rural
Dabur,Health Care,Oral Care,East,Offline,2022,5040.39,10.61,10.29,Rural
Godrej Consumer,Personal Care,Hair Oil,West,Offline,2021,3760.9,12.33,12.38,Rural
Patanjali,Personal Care,Insecticides,North,Online,2023,3700.35,16.6,10.26,Urban
Britannia,Personal Care,Shampoo,South,Online,2023,2948.98,15.69,5.89,Rural
Colgate-Palmolive,Food & Beverages,Soap,West,Online,2021,1448.66,7.51,7.27,Urban
Nestle India,Home Care,Soap,North,Online,2021,5294.92,6.7,14.63,Urban
